director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand,Action Adventure Fantasy Sci-Fi Thriller Hugh JackmanKelsey Grammer Daniel Cudmore x-men: the last stand Brett Ratner
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,monsters university,Adventure Animation Comedy Family Fantasy Steve BuscemiTyler Labine Sean Hayes monsters university Dan Scanlon
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,transformers: revenge of the fallen,Action Adventure Sci-Fi Glenn MorshowerKevin Dunn Ramon Rodriguez transformers: revenge of the fallen Michael Bay
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,transformers: age of extinction,Action Adventure Sci-Fi Bingbing LiSophia Myles Kelsey Grammer transformers: age of extinction Michael Bay
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2,Action Adventure Fantasy Sci-Fi Emma StoneAndrew Garfield B.J. Novak the amazing spider-man 2 Marc Webb
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,cars 2,Adventure Animation Comedy Family Sport Joe MantegnaThomas Kretschmann Eddie Izzard cars 2 John Lasseter
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,green lantern,Action Adventure Sci-Fi Ryan ReynoldsTemuera Morrison Taika Waititi green lantern Martin Campbell
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,toy story 3,Adventure Animation Comedy Family Fantasy Tom HanksJohn Ratzenberger Don Rickles toy story 3 Lee Unkrich
McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,terminator salvation,Action Adventure Sci-Fi Christian BaleBryce Dallas Howard Common terminator salvation McG
James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,furious 7,Action Crime Thriller Jason StathamPaul Walker Vin Diesel furious 7 James Wan
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,world war z,Action Adventure Horror Sci-Fi Thriller Peter CapaldiBrad Pitt Mireille Enos world war z Marc Forster
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past,Action Adventure Fantasy Sci-Fi Thriller Jennifer LawrencePeter Dinklage Hugh Jackman x-men: days of future past Bryan Singer
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,star trek into darkness,Action Adventure Sci-Fi Benedict CumberbatchBruce Greenwood Noel Clarke star trek into darkness J.J. Abrams
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,jack the giant slayer,Adventure Fantasy Eddie MarsanEwen Bremner Ralph Brown jack the giant slayer Bryan Singer
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,prince of persia: the sands of time,Action Adventure Fantasy Romance Jake GyllenhaalRichard Coyle Reece Ritchie prince of persia: the sands of time Mike Newell
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,pacific rim,Action Adventure Sci-Fi Charlie HunnamClifton Collins Jr. Larry Joe Campbell pacific rim Guillermo del Toro
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,transformers: dark of the moon,Action Adventure Sci-Fi Glenn MorshowerLester Speight Kevin Dunn transformers: dark of the moon Michael Bay
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull,Action Adventure Fantasy Harrison FordRay Winstone Jim Broadbent indiana jones and the kingdom of the crystal skull Steven Spielberg
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur,Adventure Animation Comedy Family Fantasy A.J. BuckleyJack McGraw Peter Sohn the good dinosaur Peter Sohn
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,brave,Adventure Animation Comedy Family Fantasy Kelly MacdonaldJohn Ratzenberger Julie Walters brave Mark Andrews
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,star trek beyond,Action Adventure Sci-Fi Thriller Sofia BoutellaMelissa Roxburgh Lydia Wilson star trek beyond Justin Lin
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,wall·e,Adventure Animation Family Sci-Fi John RatzenbergerFred Willard Jeff Garlin wall·e Andrew Stanton
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,rush hour 3,Action Comedy Crime Thriller Tzi MaDana Ivey Noémie Lenoir rush hour 3 Brett Ratner
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012,Action Adventure Sci-Fi Oliver PlattLiam James Tom McCarthy 2012 Roland Emmerich
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,a christmas carol,Animation Drama Family Fantasy Robin WrightColin Firth Gary Oldman a christmas carol Robert Zemeckis
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,jupiter ascending,Action Adventure Sci-Fi Channing TatumMila Kunis Eddie Redmayne jupiter ascending Lana Wachowski
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe","Adventure Family Fantasy Jim BroadbentKiran Shah Shane Rangi the chronicles of narnia: the lion, the witch and the wardrobe Andrew Adamson"
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,x-men: apocalypse,Action Adventure Sci-Fi Jennifer LawrenceMichael Fassbender Tye Sheridan x-men: apocalypse Bryan Singer
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,the dark knight,Action Crime Drama Thriller Christian BaleHeath Ledger Morgan Freeman the dark knight Christopher Nolan
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,up,Adventure Animation Comedy Family John RatzenbergerDelroy Lindo Jess Harnell up Pete Docter
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens,Action Adventure Animation Comedy Family Sci-Fi Amy PoehlerRainn Wilson Stephen Colbert monsters vs. aliens Rob Letterman
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,iron man,Action Adventure Sci-Fi Robert Downey Jr.Jeff Bridges Jon Favreau iron man Jon Favreau
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,hugo,Adventure Drama Family Mystery Chloë Grace MoretzChristopher Lee Ray Winstone hugo Martin Scorsese
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,wild wild west,Action Comedy Sci-Fi Western Will SmithSalma Hayek Bai Ling wild wild west Barry Sonnenfeld
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor,Action Adventure Fantasy Horror Thriller Jet LiBrendan Fraser Russell Wong the mummy: tomb of the dragon emperor Rob Cohen
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,suicide squad,Action Adventure Comedy Sci-Fi Will SmithRobin Atkin Downes Ike Barinholtz suicide squad David Ayer
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,evan almighty,Comedy Family Fantasy Jimmy BennettMorgan Freeman Steve Carell evan almighty Tom Shadyac
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,edge of tomorrow,Action Adventure Sci-Fi Tom CruiseLara Pulver Noah Taylor edge of tomorrow Doug Liman
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,waterworld,Action Adventure Sci-Fi Thriller Jeanne TripplehornRick Aviles Zakes Mokae waterworld Kevin Reynolds
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra,Action Adventure Sci-Fi Thriller Joseph Gordon-LevittDennis Quaid Leo Howard g.i. joe: the rise of cobra Stephen Sommers
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,inside out,Adventure Animation Comedy Drama Family Fantasy Amy PoehlerMindy Kaling Phyllis Smith inside out Pete Docter
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,iron man 2,Action Adventure Sci-Fi Robert Downey Jr.Scarlett Johansson Jon Favreau iron man 2 Jon Favreau
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,snow white and the huntsman,Action Adventure Drama Fantasy Chris HemsworthKristen Stewart Sam Claflin snow white and the huntsman Rupert Sanders
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,maleficent,Action Adventure Family Fantasy Romance Angelina Jolie PittSharlto Copley Sam Riley maleficent Robert Stromberg
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,dawn of the planet of the apes,Action Adventure Drama Sci-Fi Gary OldmanJudy Greer Kodi Smit-McPhee dawn of the planet of the apes Matt Reeves
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,47 ronin,Action Adventure Drama Fantasy Keanu ReevesCary-Hiroyuki Tagawa Jin Akanishi 47 ronin Carl Rinsch
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,captain america: the winter soldier,Action Adventure Sci-Fi Scarlett JohanssonChris Evans Hayley Atwell captain america: the winter soldier Anthony Russo
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,shrek forever after,Adventure Animation Comedy Family Fantasy Jon HammKathy Griffin Mary Kay Place shrek forever after Mike Mitchell
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,tomorrowland,Action Adventure Family Mystery Sci-Fi Judy GreerChris Bauer Thomas Robinson tomorrowland Brad Bird
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6,Action Adventure Animation Comedy Drama Family Sci-Fi Damon Wayans Jr.Daniel Henney Abraham Benrubi big hero 6 Don Hall
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph,Adventure Animation Comedy Family Sci-Fi Jack McBrayerSarah Silverman Joe Lo Truglio wreck-it ralph Rich Moore
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,the polar express,Adventure Animation Family Fantasy Tom HanksEddie Deezen Peter Scolari the polar express Robert Zemeckis
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,independence day: resurgence,Action Adventure Sci-Fi Vivica A. FoxSela Ward Judd Hirsch independence day: resurgence Roland Emmerich
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,how to train your dragon,Adventure Animation Family Fantasy Gerard ButlerAmerica Ferrera Craig Ferguson how to train your dragon Dean DeBlois
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,terminator 3: rise of the machines,Action Sci-Fi Nick StahlM.C. Gainey Carolyn Hennesy terminator 3: rise of the machines Jonathan Mostow
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,guardians of the galaxy,Action Adventure Sci-Fi Bradley CooperVin Diesel Djimon Hounsou guardians of the galaxy James Gunn
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,interstellar,Adventure Drama Sci-Fi Matthew McConaugheyAnne Hathaway Mackenzie Foy interstellar Christopher Nolan
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,inception,Action Adventure Sci-Fi Thriller Leonardo DiCaprioTom Hardy Joseph Gordon-Levitt inception Christopher Nolan
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: an unexpected journey,Adventure Fantasy Aidan TurnerAdam Brown James Nesbitt the hobbit: an unexpected journey Peter Jackson
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,the curious case of benjamin button,Drama Fantasy Romance Brad PittJason Flemyng Julia Ormond the curious case of benjamin button David Fincher
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,x-men: first class,Action Adventure Sci-Fi Jennifer LawrenceMichael Fassbender Oliver Platt x-men: first class Matthew Vaughn
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,the hunger games: mockingjay - part 2,Adventure Sci-Fi Jennifer LawrencePhilip Seymour Hoffman Josh Hutcherson the hunger games: mockingjay - part 2 Francis Lawrence
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,the sorcerer's apprentice,Action Adventure Family Fantasy Nicolas CageOmar Benson Miller Robert Capron the sorcerer's apprentice Jon Turteltaub
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,poseidon,Action Adventure Drama Thriller Jimmy BennettMike Vogel Andre Braugher poseidon Wolfgang Petersen
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice through the looking glass,Adventure Family Fantasy Johnny DeppAlan Rickman Anne Hathaway alice through the looking glass James Bobin
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,shrek the third,Adventure Animation Comedy Family Fantasy Justin TimberlakeEric Idle Rupert Everett shrek the third Chris Miller
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,warcraft,Action Adventure Fantasy Dominic CooperCallum Rennie Ruth Negga warcraft Duncan Jones
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,terminator genisys,Action Adventure Sci-Fi J.K. SimmonsEmilia Clarke Matt Smith terminator genisys Alan Taylor
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader,Adventure Family Fantasy Bruce SpenceShane Rangi Laura Brent the chronicles of narnia: the voyage of the dawn treader Michael Apted
Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,pearl harbor,Action Drama History Romance War Jennifer GarnerJaime King Mako pearl harbor Michael Bay
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,transformers,Action Adventure Sci-Fi Zack WardMichael O'Neill Kevin Dunn transformers Michael Bay
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,alexander,Action Adventure Biography Drama History Romance War Anthony HopkinsAngelina Jolie Pitt Brian Blessed alexander Oliver Stone
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix,Adventure Family Fantasy Mystery Robert PattinsonDaniel Radcliffe Fiona Shaw harry potter and the order of the phoenix David Yates
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the goblet of fire,Adventure Family Fantasy Mystery Robert PattinsonDaniel Radcliffe Rupert Grint harry potter and the goblet of fire Mike Newell
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,hancock,Action Drama Will SmithCharlize Theron Eddie Marsan hancock Peter Berg
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,i am legend,Drama Horror Sci-Fi Will SmithAlice Braga Willow Smith i am legend Francis Lawrence
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy,charlie and the chocolate factory,Adventure Comedy Family Fantasy Johnny DeppChristopher Lee David Kelly charlie and the chocolate factory Tim Burton
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy,ratatouille,Animation Comedy Family Fantasy Janeane GarofaloJohn Ratzenberger Brian Dennehy ratatouille Brad Bird
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure,batman begins,Action Adventure Christian BaleLiam Neeson Morgan Freeman batman begins Christopher Nolan
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family,madagascar: escape 2 africa,Action Adventure Animation Comedy Family Bernie MacJada Pinkett Smith Cedric the Entertainer madagascar: escape 2 africa Eric Darnell
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian,Adventure Comedy Family Fantasy Robin WilliamsRami Malek Steve Coogan night at the museum: battle of the smithsonian Shawn Levy
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine,Action Adventure Fantasy Sci-Fi Thriller Hugh JackmanRyan Reynolds Dominic Monaghan x-men origins: wolverine Gavin Hood
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi,the matrix revolutions,Action Sci-Fi Essie DavisCollin Chou Nona Gaye the matrix revolutions Lana Wachowski
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical,frozen,Adventure Animation Comedy Family Fantasy Musical Josh GadMaurice LaMarche Livvy Stubenrauch frozen Chris Buck
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi,the matrix reloaded,Action Sci-Fi Steve BastoniDaniel Bernhardt Helmut Bakaitis the matrix reloaded Lana Wachowski
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor: the dark world,Action Adventure Fantasy Chris HemsworthNatalie Portman Anthony Hopkins thor: the dark world Alan Taylor
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller,mad max: fury road,Action Adventure Sci-Fi Thriller Tom HardyCharlize Theron Zoë Kravitz mad max: fury road George Miller
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller,angels & demons,Mystery Thriller Tom HanksAyelet Zurer Armin Mueller-Stahl angels & demons Ron Howard
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor,Action Adventure Fantasy Chris HemsworthNatalie Portman Anthony Hopkins thor Kenneth Branagh
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family,bolt,Adventure Animation Comedy Drama Family Chloë Grace MoretzDiedrich Bader James Lipton bolt Byron Howard
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force,Action Adventure Animation Comedy Family Fantasy Sci-Fi Kelli GarnerPiper Mackenzie Harris Niecy Nash g-force Hoyt Yeatman
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy,wrath of the titans,Action Adventure Fantasy Liam NeesonEdgar Ramírez Lily James wrath of the titans Jonathan Liebesman
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror,dark shadows,Comedy Fantasy Horror Johnny DeppChloë Grace Moretz Christopher Lee dark shadows Tim Burton
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller,mission: impossible - rogue nation,Action Adventure Thriller Tom CruiseJeremy Renner Sean Harris mission: impossible - rogue nation Christopher McQuarrie
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller,the wolfman,Drama Fantasy Horror Thriller Anthony HopkinsSimon Merrells Art Malik the wolfman Joe Johnston
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,the legend of tarzan,Action Adventure Drama Romance Christoph WaltzAlexander Skarsgård Casper Crump the legend of tarzan David Yates
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family,bee movie,Adventure Animation Comedy Family Matthew BroderickOprah Winfrey Rip Torn bee movie Steve Hickner
